No,Name,Type,Description
1,proto,nominal,Transaction protocol
2,state,nominal,"Indicates the state and its dependent protocol, e.g. ACC, CLO, CON, ECO, ECR, FIN, INT, MAS, PAR, REQ, RST, TST, TXD, URH, URN, and (-) if not used"
3,dur,float,Record total duration
4,sbytes,integer,Source to destination transaction bytes
5,dbytes,integer,Destination to source transaction bytes
6,rate,float,Ethernet data rates transmitted and received
7,sttl,integer,Source to destination time to live value
8,dttl,integer,Destination to source time to live value
9,sloss,integer,Source packets retransmitted or dropped
10,dloss,integer,Destination packets retransmitted or dropped
11,service,nominal,"http, ftp, smtp, ssh, dns, ftp-data, irc, and (-) if not used"
12,sload,float,Source bits per second
13,dload,float,Destination bits per second
14,spkts,integer,Source to destination packet count
15,dpkts,integer,Destination to source packet count
16,swin,integer,Source TCP window advertisement value
17,dwin,integer,Destination TCP window advertisement value
18,stcpb,integer,Source TCP base sequence number
19,dtcpb,integer,Destination TCP base sequence number
20,smean,integer,Mean of the flow packet size transmitted by the source
21,dmean,integer,Mean of the flow packet size transmitted by the destination
22,trans_depth,integer,HTTP pipelined request/response depth
23,response_body_len,integer,Uncompressed content size of the HTTP response body
24,sjit,float,Source jitter (ms)
25,djit,float,Destination jitter (ms)
26,sinpkt,float,Source interpacket arrival time (ms)
27,dinpkt,float,Destination interpacket arrival time (ms)
28,tcprtt,float,TCP connection setup round-trip time (synack + ackdat)
29,synack,float,TCP connection setup time between SYN and SYN_ACK
30,ackdat,float,TCP connection setup time between SYN_ACK and ACK
31,is_sm_ips_ports,binary,"1 if source and destination IPs and ports are equal, else 0"
32,ct_state_ttl,integer,"No. for each state (6), according to specific TTL values (10, 11)"
33,ct_flw_http_mthd,integer,Count of flows using HTTP methods (GET/POST)
34,is_ftp_login,binary,"1 if FTP session includes user+password, else 0"
35,ct_ftp_cmd,integer,Count of flows with FTP commands
36,ct_srv_src,integer,Connections with same service and source IP in last 100 connections
37,ct_srv_dst,integer,Connections with same service and destination IP in last 100 connections
38,ct_dst_ltm,integer,Connections with same destination IP in last 100 connections
39,ct_src_ltm,integer,Connections with same source IP in last 100 connections
40,ct_src_dport_ltm,integer,Connections with same source IP and destination port in last 100 connections
41,ct_dst_sport_ltm,integer,Connections with same destination IP and source port in last 100 connections
42,ct_dst_src_ltm,integer,Connections with same source and destination IPs in last 100 connections
43,attack_cat,nominal,"Attack category (Fuzzers, Analysis, Backdoor, DoS, Exploits, Generic, Reconnaissance, Shellcode, Worms "
44,label,binary,"0 = normal, 1 = attack"
